Time;Speed;Intensive;Busy;Loadness;Fullness;NotDefineUnit;PedUnit;MotoUnit;CarUnit;BusUnit
18.10.21 00:00:00;54,6;192;2,2;0;100;0;0;0;180;12
17.10.21 23:55:00;50,8;324;10,6;11;100;0;0;0;288;36
17.10.21 23:50:00;54,4;252;2,4;0;100;0;0;0;228;24
17.10.21 23:45:00;62,8;204;1,6;0;100;0;0;0;192;12
17.10.21 23:40:00;52,6;168;1,1;0;100;0;0;0;156;12
17.10.21 23:35:00;59,3;204;1,6;0;100;0;0;0;204;0
17.10.21 23:30:00;52,8;144;1,3;0;100;0;0;12;108;24
17.10.21 23:25:00;51,3;144;1,5;0,3;100;0;0;0;132;12
17.10.21 23:20:00;56,5;228;2,3;0;100;0;0;0;216;12
17.10.21 23:15:00;53,2;300;2,9;0;100;0;0;0;240;60
17.10.21 23:10:00;51,6;228;2;0,5;100;0;0;12;216;0
17.10.21 23:05:00;59,1;168;1,3;0;100;0;0;24;144;0
17.10.21 23:00:00;49,2;288;3;4,1;100;0;0;12;240;36
17.10.21 22:55:00;46,7;192;2,6;6,1;100;0;0;0;156;36
17.10.21 22:50:00;57,5;264;3,6;0;100;0;0;0;264;0
17.10.21 22:45:00;56,6;276;2,8;0;100;0;0;0;228;48
17.10.21 22:40:00;55,1;384;3,6;0;100;0;0;0;348;36
17.10.21 22:35:00;52,5;252;7,3;5,6;100;0;0;0;252;0
17.10.21 22:30:00;50,9;240;2,5;1,9;100;0;0;0;192;48
17.10.21 22:25:00;48,7;204;1,9;3,4;100;0;0;0;204;0
17.10.21 22:20:00;55;216;2;0;100;0;0;0;216;0
17.10.21 22:15:00;50,9;192;1,9;1,2;100;0;0;0;168;24
17.10.21 22:10:00;47;288;2,4;5,6;100;0;0;0;252;36
17.10.21 22:05:00;54,2;288;2,6;0;100;0;0;12;264;12
17.10.21 22:00:00;55,3;336;2,8;0;100;0;0;0;336;0
17.10.21 21:55:00;47,5;372;3,4;6,3;100;0;0;0;360;12
17.10.21 21:50:00;52,3;336;2,8;0,8;100;0;0;0;300;36
17.10.21 21:45:00;52,4;384;4;2;100;0;0;0;348;36
17.10.21 21:40:00;43,3;312;3;10;100;0;0;0;300;12
17.10.21 21:35:00;54,8;372;3,1;0;100;0;0;0;348;24
17.10.21 21:30:00;50;432;4,4;4,9;100;0;0;0;396;36
17.10.21 21:25:00;55,1;336;3,2;0;100;0;0;0;264;72
17.10.21 21:20:00;47,8;384;3,9;6,5;100;0;0;0;360;24
17.10.21 21:15:00;53,5;408;4,1;1;100;0;0;0;336;72
17.10.21 21:10:00;52,2;324;2,9;0,9;100;0;0;0;300;24
17.10.21 21:05:00;48,2;396;3,8;5,9;100;0;0;0;396;0
17.10.21 21:00:00;48,3;612;6,2;8,5;100;0;0;12;516;84
17.10.21 20:55:00;47,6;276;3,2;5,9;100;0;0;0;252;24
17.10.21 20:50:00;48;432;4,6;7,1;100;0;0;0;360;72
17.10.21 20:45:00;50,7;456;3,9;3,5;100;0;0;0;420;36
17.10.21 20:40:00;47,2;480;5,2;8,6;100;0;0;0;420;60
17.10.21 20:35:00;53,1;360;3,4;0,7;100;0;0;0;336;24
17.10.21 20:30:00;45,8;468;4,3;9;100;0;0;24;432;12
17.10.21 20:25:00;49,4;456;8;9,5;100;0;0;0;408;48
17.10.21 20:20:00;49,4;360;3,6;4,6;100;0;0;0;324;36
17.10.21 20:15:00;52,7;588;5,6;3,5;100;0;0;24;492;72
17.10.21 20:10:00;53,8;480;4,2;0,8;100;0;0;0;468;12
17.10.21 20:05:00;51,5;480;5,1;4,1;100;0;0;0;396;84
17.10.21 20:00:00;49,8;408;4,4;5,1;100;0;0;0;372;36
17.10.21 19:55:00;48,6;528;5,5;7,5;100;0;0;0;468;60
17.10.21 19:50:00;48,6;396;3,8;5,5;100;0;0;0;360;36
17.10.21 19:45:00;49,9;420;4,8;5,3;100;0;0;0;348;72
17.10.21 19:40:00;49,1;648;6,9;8,6;100;0;0;24;504;120
17.10.21 19:35:00;43,4;408;5,2;12,3;100;0;0;0;288;120
17.10.21 19:30:00;49,7;468;4,7;5,5;100;0;0;0;396;72
17.10.21 19:25:00;50,2;492;5,2;5,5;100;0;0;0;432;60
17.10.21 19:20:00;50,6;540;5;4,9;100;0;0;0;528;12
17.10.21 19:15:00;47,4;432;4,3;7,3;100;0;0;0;384;48
17.10.21 19:10:00;53,1;492;4,7;2,1;100;0;0;0;432;60
17.10.21 19:05:00;47,5;432;4,8;7,8;100;0;0;12;360;60
17.10.21 19:00:00;51,3;576;5,9;5,3;100;0;0;0;504;72
17.10.21 18:55:00;47,9;612;6,7;9,5;100;0;0;0;552;60
17.10.21 18:50:00;49,2;468;4,7;6;100;0;0;12;408;48
17.10.21 18:45:00;40,5;684;8,1;18,4;100;0;0;0;540;144
17.10.21 18:40:00;46,6;348;3,8;7,6;100;0;0;0;312;36
17.10.21 18:35:00;45,3;804;8,7;14,3;100;0;0;0;684;120
17.10.21 18:30:00;44,4;600;7,1;13,4;100;0;0;0;516;84
17.10.21 18:25:00;49,4;456;4,5;5,5;100;0;0;0;444;12
17.10.21 18:20:00;53,7;492;4,6;1,4;100;0;0;0;444;48
17.10.21 18:15:00;47,6;612;5,4;8,3;100;0;0;12;540;60
