Time,Speed,Intensive,Busy,Loadness,Fullness,NotDefineUnit,PedUnit,MotoUnit,CarUnit,CargoUnit
18.10.21 00:00:00,50.7,192,1.6,1.1,100,0,0,0,192,0
17.10.21 23:55:00,49.9,216,2.1,2.4,100,0,0,0,204,12
17.10.21 23:50:00,49.2,276,2.6,3.7,100,0,0,0,276,0
17.10.21 23:45:00,57.1,216,1.7,0,100,0,0,0,216,0
17.10.21 23:40:00,53.6,264,1.8,0,100,0,0,0,264,0
17.10.21 23:35:00,46.2,264,3.1,7.2,100,0,0,0,264,0
17.10.21 23:30:00,52,252,2.1,0.3,100,0,0,0,252,0
17.10.21 23:25:00,52.2,312,6.5,5,100,0,0,0,312,0
17.10.21 23:20:00,54.3,288,2.6,0,100,0,0,0,276,12
17.10.21 23:15:00,51.4,276,3,1.8,100,0,0,0,276,0
17.10.21 23:10:00,41.8,276,5.3,14,100,0,0,0,276,0
17.10.21 23:05:00,41.8,324,3.1,11.6,100,0,0,0,312,12
17.10.21 23:00:00,54.2,288,2.3,0,100,0,0,0,276,12
17.10.21 22:55:00,53.5,312,2.8,0,100,0,0,0,312,0
17.10.21 22:50:00,48.3,288,2.7,4.6,100,0,0,0,276,12
17.10.21 22:45:00,46.2,336,3.1,7.2,100,0,0,0,324,12
17.10.21 22:40:00,45.7,264,2.6,7.1,100,0,0,0,252,12
17.10.21 22:35:00,49.5,372,3.8,4.6,100,0,0,0,360,12
17.10.21 22:30:00,50,372,3.3,3.6,100,0,0,0,372,0
17.10.21 22:25:00,52.5,336,2.8,0.5,100,0,0,0,324,12
17.10.21 22:20:00,50.4,288,2.6,2.5,100,0,0,0,288,0
17.10.21 22:15:00,50.8,432,4,3.6,100,0,0,0,420,12
17.10.21 22:10:00,46.6,408,4.1,7.9,100,0,0,0,396,12
17.10.21 22:05:00,46.5,336,3.1,6.9,100,0,0,0,336,0
17.10.21 22:00:00,49.7,348,2.8,3.4,100,0,0,0,348,0
17.10.21 21:55:00,43.1,384,3.8,11.1,100,0,0,0,384,0
17.10.21 21:50:00,46.7,540,4.9,8.6,100,0,0,0,516,24
17.10.21 21:45:00,48,288,2.7,5,100,0,0,0,288,0
17.10.21 21:40:00,44.7,420,8,14.1,100,0,0,0,396,24
17.10.21 21:35:00,49.1,516,4.8,6.1,100,0,0,0,504,12
17.10.21 21:30:00,47.9,408,3.4,5.9,100,0,0,0,384,24
17.10.21 21:25:00,48.1,300,2.9,5.1,100,0,0,0,300,0
17.10.21 21:20:00,44.9,612,6.2,12,100,0,0,0,600,12
17.10.21 21:15:00,48.6,360,3.5,5.3,100,0,0,0,360,0
17.10.21 21:10:00,45.4,348,3.2,8.1,100,0,0,0,324,24
17.10.21 21:05:00,44.9,420,4.3,9.9,100,0,0,0,420,0
17.10.21 21:00:00,49.3,516,4.7,5.8,100,0,0,0,504,12
17.10.21 20:55:00,48.2,324,2.8,4.8,100,0,0,0,312,12
17.10.21 20:50:00,46.5,408,3.5,7.4,100,0,0,12,396,0
17.10.21 20:45:00,49.8,432,4,4.6,100,0,0,0,396,36
17.10.21 20:40:00,49.8,480,4.3,4.9,100,0,0,0,480,0
17.10.21 20:35:00,51.8,264,2.2,0.7,100,0,0,0,264,0
17.10.21 20:30:00,49.3,504,4.6,5.7,100,0,0,0,504,0
17.10.21 20:25:00,44.2,612,6,12.4,100,0,0,0,600,12
17.10.21 20:20:00,50.1,360,3.2,3.5,100,0,0,0,348,12
17.10.21 20:15:00,49.2,408,3.8,5,100,0,0,0,408,0
17.10.21 20:10:00,46.3,672,6.1,10.4,100,0,0,0,660,12
17.10.21 20:05:00,48.2,528,4.9,7.2,100,0,0,0,504,24
17.10.21 20:00:00,51.3,456,4.1,3.1,100,0,0,0,444,12
17.10.21 19:55:00,45.6,528,5.2,10.2,100,0,0,0,516,12
17.10.21 19:50:00,45.4,576,5.4,10.5,100,0,0,0,576,0
17.10.21 19:45:00,47.5,384,3.1,5.8,100,0,0,12,360,12
17.10.21 19:40:00,45.7,444,4.6,9.3,100,0,0,0,420,24
17.10.21 19:35:00,47.8,684,5.8,8.5,100,0,0,0,672,12
17.10.21 19:30:00,38.8,564,5.8,17.5,100,0,0,0,516,48
17.10.21 19:25:00,47.6,384,6.1,9.1,100,0,0,0,384,0
17.10.21 19:20:00,45.1,480,4.4,9.7,100,0,0,0,432,48
17.10.21 19:15:00,43.9,684,6.1,12.8,100,0,0,0,624,60
17.10.21 19:10:00,44.7,492,4.8,10.5,100,0,0,0,492,0
17.10.21 19:05:00,41.1,636,6.6,16.1,100,0,0,0,624,12
17.10.21 19:00:00,48.5,480,5.1,7.1,100,0,0,0,480,0
17.10.21 18:55:00,38,924,21,35.3,100,0,0,0,888,36
17.10.21 18:50:00,44.4,228,2.7,8.5,100,0,0,0,228,0
17.10.21 18:45:00,41.6,624,5.9,14.9,100,0,0,12,588,24
17.10.21 18:40:00,46.5,564,4.9,8.9,100,0,0,0,540,24
17.10.21 18:35:00,43.2,360,6.4,13.9,100,0,0,0,348,12
17.10.21 18:30:00,45.2,672,6.8,12.4,100,0,0,0,624,48
17.10.21 18:25:00,42.8,732,8.5,16.7,100,0,0,12,672,48
17.10.21 18:20:00,47.3,504,4.7,7.9,100,0,0,0,468,36
17.10.21 18:15:00,38.7,648,7,19,100,0,0,0,588,60
17.10.21 18:10:00,42.2,756,6.9,15.5,100,0,0,0,708,48
17.10.21 18:05:00,48,600,5.7,8.3,100,0,0,0,588,12
17.10.21 18:00:00,44.4,648,6.7,13,100,0,0,24,600,24
17.10.21 17:55:00,47.7,624,5.5,8.3,100,0,0,0,624,0
17.10.21 17:50:00,48.2,372,3.5,5.7,100,0,0,0,348,24
17.10.21 17:45:00,48.4,552,5.2,7.3,100,0,0,0,528,24
17.10.21 17:40:00,51.8,432,3.6,2.1,100,0,0,0,432,0
17.10.21 17:35:00,46.8,624,6,9.9,100,0,0,0,624,0
17.10.21 17:30:00,49.1,444,3.6,4.9,100,0,0,0,420,24
17.10.21 17:25:00,44.3,720,9.5,16.2,100,0,0,0,636,84
17.10.21 17:20:00,48.1,516,5.5,8,100,0,0,0,504,12
17.10.21 17:15:00,51.8,516,4.6,3.3,100,0,0,0,516,0
17.10.21 17:10:00,46.2,540,5.2,9.6,100,0,0,0,504,36
17.10.21 17:05:00,48,576,5.2,7.7,100,0,0,0,552,24
17.10.21 17:00:00,48.7,516,4.9,6.6,100,0,0,0,480,36
