Time;Speed;Intensive;Busy;Loadness;Fullness;NotDefineUnit;PedUnit;MotoUnit;CarUnit;BusUnit
18.10.21 00:00:00;35,4;216;0,8;21,4;100;0;0;0;204;12
17.10.21 23:55:00;33,1;348;1,3;23,8;100;0;0;12;336;0
17.10.21 23:50:00;30,8;372;10,6;36,1;100;0;0;0;372;0
17.10.21 23:45:00;23;432;9;40,8;100;0;0;0;420;12
17.10.21 23:40:00;36,2;444;2,5;22,6;100;0;0;0;432;12
17.10.21 23:35:00;24,3;372;7,6;38,2;100;0;0;0;360;12
17.10.21 23:30:00;38,8;336;1,3;19,1;100;0;0;0;324;12
17.10.21 23:25:00;35,6;300;1,7;22,1;100;0;0;0;300;0
17.10.21 23:20:00;39,1;336;1,4;18,9;100;0;0;0;324;12
17.10.21 23:15:00;34,8;252;1,7;22,9;100;0;0;0;252;0
17.10.21 23:10:00;37,3;288;1,2;20,1;100;0;0;0;288;0
17.10.21 23:05:00;31,8;432;6,6;30,8;100;0;0;0;432;0
17.10.21 23:00:00;30,7;324;3,1;27,8;100;0;0;0;312;12
17.10.21 22:55:00;36;396;2,5;22,8;100;0;0;0;372;24
17.10.21 22:50:00;34,6;312;1,8;23,1;100;0;0;0;312;0
17.10.21 22:45:00;36,5;420;3,4;23,3;100;0;0;0;408;12
17.10.21 22:40:00;21,4;384;9,3;42,5;100;0;0;0;384;0
17.10.21 22:35:00;39,4;552;3,5;20,9;100;0;0;0;540;12
17.10.21 22:30:00;32,1;492;5,8;29,7;100;0;0;0;468;24
17.10.21 22:25:00;33,4;540;5,4;28,1;100;0;0;0;504;36
17.10.21 22:20:00;35,5;276;1;21,4;100;0;0;12;252;12
17.10.21 22:15:00;34,6;480;4,8;26,5;100;0;0;0;456;24
17.10.21 22:10:00;35,6;408;3,1;23,7;100;0;0;0;408;0
17.10.21 22:05:00;30;336;4,1;29,6;100;0;0;0;312;24
17.10.21 22:00:00;30,7;480;10,2;35,7;100;0;0;0;468;12
17.10.21 21:55:00;35;528;6,1;27,6;100;0;0;0;528;0
17.10.21 21:50:00;33,8;708;5;27,3;100;0;0;0;684;24
17.10.21 21:45:00;34,1;372;7,4;29,8;100;0;0;0;360;12
17.10.21 21:40:00;31,9;468;6,1;30,2;100;0;0;0;468;0
17.10.21 21:35:00;34,4;636;7,8;30;100;0;0;0;612;24
17.10.21 21:30:00;27,2;396;8,2;36,5;100;0;0;0;372;24
17.10.21 21:25:00;38;468;1,9;20,4;100;0;0;0;444;24
17.10.21 21:20:00;35,5;540;4,4;25,3;100;0;0;0;540;0
17.10.21 21:15:00;34,8;564;4,3;25,8;100;0;0;0;540;24
17.10.21 21:10:00;35,1;540;2,7;23,7;100;0;0;0;516;24
17.10.21 21:05:00;34,8;528;3,4;24,8;100;0;0;0;504;24
17.10.21 21:00:00;32,2;648;7,4;31,4;100;0;0;0;612;36
17.10.21 20:55:00;30,3;456;7,7;33,3;100;0;0;0;444;12
17.10.21 20:50:00;34,8;444;4,4;25,8;100;0;0;0;432;12
17.10.21 20:45:00;35,9;672;5,4;26,1;100;0;0;0;672;0
17.10.21 20:40:00;29,9;480;7,6;33,5;100;0;0;0;468;12
17.10.21 20:35:00;21,9;468;12,8;46;100;0;0;0;444;24
17.10.21 20:30:00;31,3;600;14,3;39,7;100;0;0;0;600;0
17.10.21 20:25:00;32,9;780;7,5;30,8;100;0;0;0;744;36
17.10.21 20:20:00;26,5;564;12,5;41,8;100;0;0;0;564;0
17.10.21 20:15:00;30,5;456;7,4;32,8;100;0;0;0;432;24
17.10.21 20:10:00;33,8;684;6,1;28,5;100;0;0;0;660;24
17.10.21 20:05:00;34,6;576;5;26,7;100;0;0;0;564;12
17.10.21 20:00:00;34,9;684;5,2;26,7;100;0;0;0;660;24
17.10.21 19:55:00;36,5;468;3,4;23,4;100;0;0;0;456;12
17.10.21 19:50:00;35,7;600;4;24,6;100;0;0;0;588;12
