Time;Intensive;Busy;Speed;Fullness;Loadness;MicroUnit;CarUnit;BusUnit;CargoUnit;TreilUnit;0<V<10;10<V<20;20<V<30;30<V<40;40<V<50;50<V<60;60<V<70;70<V<80;80<V<90;90<V<100;100<V<110;110<V<120;120<V<130;V>130
18.10.21 00:00:00;300;2,4;47,1;100;13,4;0;180;96;12;12;0;0;0;48;168;72;0;12;0;0;0;0;0;0
17.10.21 23:55:00;432;3,4;46,6;100;15;0;216;204;0;12;0;0;12;72;216;108;24;0;0;0;0;0;0;0
17.10.21 23:50:00;288;2,5;42,5;100;17,4;24;144;108;12;0;0;0;24;96;96;72;0;0;0;0;0;0;0;0
17.10.21 23:45:00;192;1,8;45,5;100;14,1;0;84;96;0;12;0;0;24;12;96;36;24;0;0;0;0;0;0;0
17.10.21 23:40:00;276;2,3;46,9;100;13,5;12;156;96;0;12;0;0;0;84;96;60;24;12;0;0;0;0;0;0
17.10.21 23:35:00;192;1,7;45,7;100;13,8;0;96;84;0;12;0;12;12;12;96;60;0;0;0;0;0;0;0;0
17.10.21 23:30:00;180;1,4;46,9;100;12,4;0;96;84;0;0;0;0;0;36;60;84;0;0;0;0;0;0;0;0
17.10.21 23:25:00;288;2,1;49,8;100;10,8;0;132;144;12;0;0;0;0;24;156;72;24;12;0;0;0;0;0;0
17.10.21 23:20:00;312;2,4;46,8;100;13,6;12;180;108;12;0;0;0;0;60;156;84;12;0;0;0;0;0;0;0
17.10.21 23:15:00;384;3,4;44,4;100;16,7;0;180;180;12;12;0;0;24;96;156;96;12;0;0;0;0;0;0;0
17.10.21 23:10:00;264;2;46,4;100;13,5;12;192;60;0;0;0;0;12;72;120;36;12;0;0;12;0;0;0;0
17.10.21 23:05:00;396;3,5;42,3;100;18,7;24;228;120;12;12;0;12;0;156;144;72;0;12;0;0;0;0;0;0
17.10.21 23:00:00;264;2,3;45,4;100;14,7;0;156;72;24;12;0;0;0;72;108;72;12;0;0;0;0;0;0;0
17.10.21 22:55:00;312;2,4;47,1;100;13,4;0;204;108;0;0;0;0;12;48;132;84;36;0;0;0;0;0;0;0
17.10.21 22:50:00;360;3;47;100;14,1;0;216;132;0;0;0;0;0;36;228;84;0;12;0;0;0;0;0;0
17.10.21 22:45:00;504;4;45,7;100;16,4;0;324;180;0;0;0;0;0;96;276;96;36;0;0;0;0;0;0;0
17.10.21 22:40:00;372;2,9;45,9;100;15;0;192;180;0;0;0;0;12;60;204;60;36;0;0;0;0;0;0;0
17.10.21 22:35:00;360;3,4;43,8;100;17,2;0;180;144;12;24;0;0;24;72;180;84;0;0;0;0;0;0;0;0
17.10.21 22:30:00;408;3,5;43,8;100;17,3;0;204;180;24;0;0;0;12;72;252;72;0;0;0;0;0;0;0;0
17.10.21 22:25:00;360;2,8;47;100;13,9;0;216;132;12;0;0;0;0;60;204;60;36;0;0;0;0;0;0;0
17.10.21 22:20:00;348;2,9;41,8;100;18,4;12;240;84;0;12;12;0;0;84;204;48;0;0;0;0;0;0;0;0
17.10.21 22:15:00;252;2,3;43,6;100;16,2;0;132;108;0;12;0;0;36;12;156;48;0;0;0;0;0;0;0;0
17.10.21 22:10:00;372;2,9;45,3;100;15,5;0;192;180;0;0;0;0;12;48;216;96;0;0;0;0;0;0;0;0
17.10.21 22:05:00;612;5,2;43,8;100;19,3;24;324;240;12;12;0;0;0;216;204;180;12;0;0;0;0;0;0;0
17.10.21 22:00:00;540;4,4;45;100;17,3;12;276;252;0;0;0;0;12;132;216;156;24;0;0;0;0;0;0;0
17.10.21 21:55:00;408;3,2;45,4;100;15,7;0;216;192;0;0;0;0;0;60;264;72;12;0;0;0;0;0;0;0
17.10.21 21:50:00;396;4,1;38,7;100;22,3;24;120;228;0;12;0;12;84;96;120;84;0;0;0;0;0;0;0;0
17.10.21 21:45:00;432;3,6;45,2;100;16,3;0;228;180;24;0;0;0;24;84;192;132;0;0;0;0;0;0;0;0
17.10.21 21:40:00;576;4,6;47,9;100;15,1;0;300;252;12;12;0;0;0;60;372;120;12;12;0;0;0;0;0;0
17.10.21 21:35:00;384;3,3;45;100;16,1;12;180;156;24;12;0;0;0;132;144;84;24;0;0;0;0;0;0;0
17.10.21 21:30:00;504;3,8;47,1;100;14,9;12;288;192;12;0;0;0;12;48;288;144;12;0;0;0;0;0;0;0
17.10.21 21:25:00;600;5,4;45,8;100;17,8;12;312;228;24;12;0;0;12;96;396;60;24;0;12;0;0;0;0;0
17.10.21 21:20:00;480;4,3;41,7;100;20;36;252;156;0;36;12;0;12;144;252;60;0;0;0;0;0;0;0;0
17.10.21 21:15:00;504;4,3;45,4;100;16,9;12;216;252;12;12;0;0;24;72;276;120;12;0;0;0;0;0;0;0
17.10.21 21:10:00;576;5;43,2;100;19,5;0;324;228;24;0;0;0;36;132;276;132;0;0;0;0;0;0;0;0
17.10.21 21:05:00;576;5;45,3;100;17,7;0;300;252;0;24;0;0;0;168;252;144;0;12;0;0;0;0;0;0
17.10.21 21:00:00;600;5,3;43,1;100;19,9;0;336;228;12;24;0;0;12;144;372;60;12;0;0;0;0;0;0;0
17.10.21 20:55:00;648;5,3;44,7;100;18,6;0;348;288;12;0;0;0;24;108;408;84;24;0;0;0;0;0;0;0
17.10.21 20:50:00;636;5,2;43,6;100;19,4;0;312;324;0;0;0;0;0;156;384;96;0;0;0;0;0;0;0;0
17.10.21 20:45:00;504;4;44,7;100;17,2;12;300;180;12;0;0;0;12;156;228;84;12;12;0;0;0;0;0;0
17.10.21 20:40:00;504;4,6;40,7;100;21,2;24;336;132;0;12;0;0;72;180;216;24;12;0;0;0;0;0;0;0
17.10.21 20:35:00;552;4,4;45,8;100;16,7;0;348;204;0;0;0;0;24;96;288;120;24;0;0;0;0;0;0;0
17.10.21 20:30:00;612;5,2;43,4;100;19,5;12;324;264;12;0;0;0;24;132;348;108;0;0;0;0;0;0;0;0
17.10.21 20:25:00;516;4,2;45,6;100;16,6;0;300;192;24;0;0;12;12;72;264;132;24;0;0;0;0;0;0;0
17.10.21 20:20:00;492;4,2;45,9;100;16,5;0;276;192;0;24;0;0;12;48;312;120;0;0;0;0;0;0;0;0
17.10.21 20:15:00;588;4,8;44,7;100;18,1;0;348;228;0;12;0;0;12;192;264;72;36;12;0;0;0;0;0;0
17.10.21 20:10:00;564;4,7;46;100;16,8;0;360;192;12;0;0;0;48;96;240;120;60;0;0;0;0;0;0;0
17.10.21 20:05:00;660;6,2;44,6;100;19,6;0;456;168;0;24;0;0;48;192;324;84;0;0;0;0;0;0;0;0
17.10.21 20:00:00;768;7;43,2;100;21,7;12;492;228;12;24;12;0;24;240;360;96;24;12;0;0;0;0;0;0
17.10.21 19:55:00;528;4,4;45,4;100;17;0;324;192;0;12;0;0;0;120;288;96;12;12;0;0;0;0;0;0
17.10.21 19:50:00;492;4;46,2;100;15,9;0;252;228;0;0;0;0;24;84;240;96;48;0;0;0;0;0;0;0
17.10.21 19:45:00;648;5,3;44,6;100;18,6;0;324;312;0;12;0;0;48;84;396;108;12;0;0;0;0;0;0;0
17.10.21 19:40:00;720;6,8;43,6;100;21,1;12;396;240;36;36;0;0;0;228;384;84;12;12;0;0;0;0;0;0
17.10.21 19:35:00;600;5,1;42,6;100;20,2;0;336;240;24;0;0;0;0;216;360;24;0;0;0;0;0;0;0;0
17.10.21 19:30:00;684;5,4;45,9;100;17,8;24;408;240;0;12;12;0;0;96;384;180;12;0;0;0;0;0;0;0
17.10.21 19:25:00;648;5,3;44,6;100;18,8;0;312;324;12;0;0;0;12;84;480;48;24;0;0;0;0;0;0;0
17.10.21 19:20:00;600;4,7;44,9;100;17,8;0;408;192;0;0;0;0;0;120;372;108;0;0;0;0;0;0;0;0
17.10.21 19:15:00;444;3,9;44,6;100;17,2;0;264;144;24;12;0;0;0;144;192;84;12;12;0;0;0;0;0;0
17.10.21 19:10:00;660;5,7;44,2;100;19,4;12;264;372;12;0;0;0;48;120;348;120;24;0;0;0;0;0;0;0
17.10.21 19:05:00;636;6,7;40,5;100;23,6;24;324;240;12;36;12;36;36;120;384;36;12;0;0;0;0;0;0;0
17.10.21 19:00:00;924;8,3;41,5;100;24,6;0;624;288;0;0;0;12;48;288;468;96;12;0;0;0;0;0;0;0
17.10.21 18:55:00;672;5,7;43,8;100;19,8;12;348;288;12;12;0;0;12;168;432;36;12;12;0;0;0;0;0;0
17.10.21 18:50:00;684;6,1;42,1;100;21,7;0;408;252;12;12;0;0;12;216;360;96;0;0;0;0;0;0;0;0
17.10.21 18:45:00;660;5,5;44,2;100;19,2;12;372;264;0;12;0;0;0;108;480;72;0;0;0;0;0;0;0;0
17.10.21 18:40:00;888;7,7;43,2;100;22,6;0;588;252;48;0;0;36;36;204;396;216;0;0;0;0;0;0;0;0
