Time;Intensive;Busy;Speed;Fullness;Loadness;MicroUnit;CarUnit;CargoUnit;BusUnit;TrailerUnit;0<V<10;10<V<20;20<V<30;30<V<40;40<V<50;50<V<60;60<V<70;70<V<80;80<V<90;90<V<100;100<V<110;110<V<120;120<V<130;V>130
18.10.21 00:00:00;0;0;;100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.10.21 23:55:00;60;1;38.3;100;19.2;12;12;36;0;0;0;0;12;36;0;12;0;0;0;0;0;0;0;0
17.10.21 23:50:00;120;1.9;43;100;16.3;0;72;48;0;0;0;0;0;36;84;0;0;0;0;0;0;0;0;0
17.10.21 23:45:00;120;2.2;40.3;100;18.8;0;60;60;0;0;0;0;24;48;24;24;0;0;0;0;0;0;0;0
17.10.21 23:40:00;72;1.5;42.7;100;16.1;0;36;24;0;12;0;0;12;0;48;12;0;0;0;0;0;0;0;0
17.10.21 23:35:00;36;0.4;55.5;100;4.2;0;12;24;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0
17.10.21 23:30:00;60;0.8;47.9;100;11;0;48;12;0;0;0;0;0;12;24;24;0;0;0;0;0;0;0;0
17.10.21 23:25:00;144;2;52.1;100;8.7;12;72;60;0;0;0;0;0;24;48;48;0;24;0;0;0;0;0;0
17.10.21 23:20:00;72;1.3;35.9;100;21.5;12;36;24;0;0;0;12;0;36;24;0;0;0;0;0;0;0;0;0
17.10.21 23:15:00;144;2.8;43.9;100;16.4;0;48;84;0;12;0;0;36;24;24;48;12;0;0;0;0;0;0;0
17.10.21 23:10:00;108;1.6;46.1;100;13.4;0;60;48;0;0;0;0;0;24;60;24;0;0;0;0;0;0;0;0
17.10.21 23:05:00;96;1.5;45.4;100;13.8;0;48;48;0;0;0;0;0;12;48;36;0;0;0;0;0;0;0;0
17.10.21 23:00:00;96;1.3;51.9;100;8.2;0;48;36;12;0;0;0;0;0;36;48;12;0;0;0;0;0;0;0
17.10.21 22:55:00;120;2;43;100;16.3;0;84;36;0;0;0;0;0;48;48;24;0;0;0;0;0;0;0;0
17.10.21 22:50:00;96;3.5;38.5;100;21.8;0;48;12;0;12;0;0;24;24;24;12;0;0;0;0;0;12;0;0
17.10.21 22:45:00;132;2.5;41.3;100;18.4;0;72;48;0;12;0;0;24;24;60;24;0;0;0;0;0;0;0;0
